28288,20618,26417,12450,6997,20618,10226,10756
24748,21211,29995,10181,6997,20618,10226,10181
17304,23361,23991,12820,6997,20618,10226,10181
8584,25238,15692,16746,6997,20618,10226,10181
8766,29360,10343,23599,6997,20618,10226,10181
11070,27097,11572,23470,6997,20618,10226,10181
11920,25038,13568,21362,8584,20618,10226,10181
19511,21539,18147,14921,8584,20618,10226,10181
21565,21348,24868,10676,8584,20618,10226,10181
19503,21382,23393,11706,8584,20618,10226,10181
11685,22466,19337,13764,8584,20618,10226,10181
9334,25980,11555,17930,8584,20618,10226,10181
10219,25874,10641,23573,8584,20618,10226,10181
11012,25218,12474,22290,8584,20618,10226,10181
15277,21500,15642,18407,8584,20618,10226,10181
20284,20896,22915,11622,8584,20618,10226,10181
20526,21200,24021,11130,9334,20896,10641,10676
15396,22180,21584,12695,9334,20896,10641,10676
9200,24063,13840,15753,9200,20896,10641,10676
9949,25506,10497,22706,9200,20896,10497,10676
10594,25600,11802,22551,9200,20896,10497,10676
12648,23666,14181,20332,9200,20896,10497,10676
20212,21487,19738,13130,9200,20896,10497,10676
21356,21436,24568,10526,9200,20896,10497,10526
18606,22526,22922,11822,9200,20896,10497,10526
10135,23827,17365,14307,9200,20896,10497,10526
9859,27110,11131,19473,9200,21436,10497,10526
10462,26443,11312,23207,9200,21436,10497,10526
11474,25331,13023,21643,9200,21436,10497,10526
17456,21677,16858,16427,9200,21436,10497,10526
20879,21373,24392,11112,9200,21373,10497,10526
20032,21778,23651,11131,9200,21373,10497,10526
13335,23279,20434,13167,9200,21373,10497,10526
9314,25596,12455,16461,9200,21373,10497,10526
10209,25667,10746,23401,9200,21373,10497,10526
10785,24910,12142,22319,9200,21373,10497,10526
13623,21302,14778,19521,9314,21302,10746,11112
19840,19892,21126,12244,9314,19892,10746,11112
20621,20062,24187,10652,9314,19892,10746,10652
17174,20506,22242,12228,9314,19892,10746,10652
9497,22508,15844,14811,9314,19892,10746,10652
9828,24661,10623,20831,9314,19892,10623,10652
10464,24442,11416,22815,9314,19892,10623,10652
11694,22675,13374,21073,9314,19892,10623,10652
18837,18944,17868,14769,9314,18944,10623,10652
20596,18066,24530,10763,9314,18066,10623,10652
18758,17564,23080,11542,9497,17564,10623,10652
11246,18084,19158,13625,9497,17564,10623,10652
9186,20967,11617,17375,9186,17564,10623,10652
10074,20947,10617,23358,9186,17564,10617,10652
10899,20822,12225,21799,9186,17564,10617,10652
14881,16601,15386,18232,9186,16601,10617,10652
19487,15008,22656,11711,9186,15008,10617,10652
19648,15648,23763,10768,9186,15008,10617,10652
15005,17003,21342,12555,9186,15008,10617,10652
9044,19101,13859,15429,9044,15008,10617,10652
9782,20302,10458,22104,9044,15008,10458,10768
10449,20533,11574,22282,9044,15008,10458,10768
12259,17815,14034,20173,9044,15008,10458,10768
19290,14808,19277,13294,9044,14808,10458,10768
20384,14673,24403,10607,9044,14673,10458,10607
17849,15896,22856,11767,9044,14673,10458,10607
9958,17101,17629,14143,9044,14673,10458,10607
9706,21594,11348,19127,9044,14673,10458,10607
10375,22285,11105,23085,9044,14673,10458,10607
11282,21211,12810,21646,9044,14673,10458,10607
17036,15187,16502,16665,9706,14673,11105,10607
20342,14297,24319,11364,9706,14297,11105,10607
19835,15021,23734,11133,9706,14297,11105,10607
13622,16595,20739,13047,9706,14297,11105,10607
9375,20077,12665,16260,9375,14297,11105,10607
10288,22318,10630,23340,9375,14297,10630,10607
10784,22262,11947,22453,9375,14297,10630,10607
13414,17059,14752,19808,9375,14297,10630,10607
19717,13661,20861,12454,9375,13661,10630,10607
20607,14088,24485,10933,9375,13661,10630,10607
17322,15035,22448,12131,9375,13661,10630,10933
9728,16848,16110,14806,9375,13661,10630,10933
10323,21808,10616,20549,9375,13661,10616,10933
10765,22135,11403,23191,9375,13661,10616,10933
11617,19763,13322,21179,9375,13661,10616,10933
17053,14510,17523,15114,9375,13661,10616,10933
19341,14138,24620,10923,9375,13661,10616,10923
18336,15150,23377,11261,9375,13661,10616,10923
11727,16281,19613,13432,9375,13661,10616,10923
9457,20766,11946,17281,9375,13661,10616,10923
10253,21212,10675,23291,9457,14138,10616,10923
10786,20197,12152,21941,9457,14138,10616,10923
14297,15521,15223,18484,9457,14138,10616,10923
19141,14141,22106,11725,9457,14138,10616,10923
19609,15104,23891,10789,9457,14138,10616,10789
15419,16102,21788,12330,9457,14138,10616,10789
9165,17445,14537,15342,9165,14138,10616,10789
9845,21257,10522,21841,9165,14138,10522,10789
10546,22949,11554,22840,9165,14138,10522,10789
12160,22273,13853,20835,9165,14138,10522,10789
19329,19687,18804,14047,9165,14141,10522,10789
21037,19586,24844,10691,9165,14141,10522,10691
18877,20377,23159,11673,9165,14141,10522,10691
10929,20907,18612,14002,9165,14141,10522,10691
9606,25044,11577,18560,9165,14141,10522,10691
10342,25234,11090,23668,9165,14141,10522,10691
11259,24705,12757,22073,9165,14141,10522,10691
16152,20274,16089,17621,9165,14141,10522,10691
20610,19645,23718,11308,9165,14141,10522,10691
20485,20144,24018,11238,9165,14141,10522,10691
14636,20698,21198,12896,9606,19586,11090,10691
9315,23142,13219,16043,9315,19586,11090,10691
10093,24968,10744,23189,9315,19586,10744,10691
10709,24936,12064,22620,9315,19586,10744,10691
13101,22043,14511,20164,9315,19586,10744,10691
20178,19853,20527,12887,9315,19586,10744,10691
21184,19878,24571,10763,9315,19586,10744,10691
17974,20424,22735,12101,9315,19586,10744,10691
9759,21319,16752,14549,9315,19586,10744,10691
9798,24969,10924,20109,9315,19586,10744,10691
10437,25043,11297,23282,9315,19853,10744,10763
11697,24183,13404,21418,9315,19853,10744,10763
18480,20024,17509,15580,9315,19853,10744,10763
21174,19631,24819,10962,9315,19631,10744,10763
19780,20178,23440,11464,9315,19631,10744,10763
12514,20854,20039,13422,9315,19631,10744,10763
9277,24297,12061,17026,9277,19631,10744,10763
10222,25085,10856,23723,9277,19631,10744,10763
10956,24894,12385,22452,9277,19631,10744,10763
14589,21026,15337,18932,9277,19631,10744,10763
20415,19654,22216,12029,9277,19631,10856,10962
20946,19998,24349,10855,9277,19631,10856,10855
16536,20546,22098,12489,9277,19631,10856,10855
9404,22231,14913,15230,9277,19631,10856,10855
9967,24793,10594,22042,9277,19631,10594,10855
10654,25219,11765,22956,9277,19631,10594,10855
12390,23351,13907,20912,9277,19631,10594,10855
19862,19953,19047,14014,9277,19631,10594,10855
21457,19727,25087,10680,9277,19631,10594,10680
19225,20592,23396,11902,9277,19631,10594,10680
10906,21375,18474,14123,9404,19727,10594,10680
9700,25581,11410,18857,9404,19727,10594,10680
10470,25482,11116,23724,9404,19727,10594,10680
11456,24939,12872,22174,9404,19727,10594,10680
16687,20426,16320,17575,9404,19727,10594,10680
21135,19725,24190,11517,9404,19725,10594,10680
20776,20382,24156,11255,9404,19725,10594,10680
14642,21337,21278,12956,9404,19725,10594,10680
9394,23873,13210,16225,9394,19725,10594,10680
10245,25654,10846,23204,9394,19725,10594,10680
10826,25332,12192,22487,9394,19725,10846,11255
13193,22397,14595,19918,9394,19725,10846,11255
20082,20164,20495,12749,9394,19725,10846,11255
21092,20210,24440,11016,9394,19725,10846,11016
