X,Y,Label
2132,-742,I6
997,168,I6
-90,1464,I6
705,1040,I6
1956,-299,I6
1783,-278,I6
487,912,I6
204,1558,I6
1332,496,I6
2092,-719,I6
1282,-59,I6
38,1258,I6
572,1167,I6
1838,-158,I6
1971,-618,I6
694,460,I6
-27,1443,I6
989,698,I6
2090,-649,I6
1589,-187,I6
293,1117,I6
455,1433,I6
1698,123,I6
2148,-739,I6
1038,157,I6
-68,1421,I6
680,1047,I6
1899,-258,I6
1749,-246,I6
485,920,I6
171,1567,I6
1273,524,I6
2043,-680,I6
1263,-36,I6
17,1277,I6
563,1257,I6
1856,-85,I6
2035,-583,I6
740,491,I6
-5,1490,I6
1039,719,I6
2154,-634,I6
1649,-210,I6
301,1111,I6
417,1453,I6
1644,178,I6
2120,-612,I6
1015,336,I6
-98,1619,I6
659,1293,I6
1862,123,I6
1709,220,I6
429,1454,I6
153,2100,I6
1284,1119,I6
2065,-14,I6
1280,607,I6
45,1857,I6
579,1862,I6
1852,574,I6
2024,76,I6
698,1126,I6
-21,2077,I6
994,1393,I6
2104,111,I6
1621,506,I6
309,1764,I6
442,2115,I6
1705,852,I6
2186,-44,I6
1051,839,I6
-18,2075,I6
761,1715,I6
2000,435,I6
1820,409,I6
502,1554,I6
208,2182,I6
1317,1187,I6
2080,-5,I6
1260,631,I6
20,1856,I6
587,1798,I6
1877,501,I6
2026,31,I6
708,1091,I6
7,2024,I6
1058,1287,I6
2156,-3,I6
1598,459,I6
246,1785,I6
463,2115,I6
1727,796,I6
2163,-39,I6
927,898,I6
-103,2126,I6
752,1682,I6
1991,389,I6
1758,427,I6
455,1586,I6
286,2133,I6
1425,1055,I6
2141,-102,I6
1267,507,I6
101,1709,I6
677,1607,I6
1908,322,I6
2009,-108,I6
732,888,I6
82,1758,I6
1066,992,I6
2085,-293,I6
1551,141,I6
289,1428,I6
508,1724,I6
1733,395,I6
2148,-442,I6
968,424,I6
-71,1674,I6
752,1213,I6
1995,-146,I6
1783,-150,I6
472,1011,I6
211,1607,I6
1331,514,I6
2058,-704,I6
1216,-60,I6
-5,1218,I6
566,1085,I6
1850,-257,I6
1963,-657,I6
651,446,I6
-5,1397,I6
1065,561,I6
2129,-800,I6
1559,-282,I6
221,1048,I6
432,1362,I6
1695,36,I6
2099,-782,I6
905,171,I6
-118,1436,I6
699,967,I6
1947,-364,I6
1694,-253,I6
364,989,I6
187,1582,I6
1384,424,I6
2099,-791,I6
1193,-44,I6
-45,1265,I6
583,1103,I6
1887,-254,I6
1964,-612,I6
683,490,I6
84,1380,I6
1128,546,I6
2122,-746,I6
1547,-196,I6
276,1101,I6
537,1363,I6
1752,57,I6
2130,-735,I6
925,233,I6
-87,1474,I6
763,979,I6
2008,-367,I6
1749,-255,I6
421,990,I6
251,1568,I6
1444,398,I6
2148,-790,I6
1251,-41,I6
-1,1271,I6
642,1080,I6
1945,-279,I6
2014,-600,I6
697,534,I6
120,1414,I6
1174,543,I6
2155,-777,I6
1543,-217,I6
234,1113,I6
533,1357,I6
1771,42,I6
2116,-707,I6
867,269,I6
-109,1471,I6
731,950,I6
1972,-389,I6
1695,-216,I6
381,1022,I6
218,1561,I6
1397,377,I6
2062,-793,I6
1124,-27,I6
-86,1284,I6
562,1073,I6
1861,-297,I6
1911,-591,I6
610,531,I6
53,1390,I6
1150,499,I6
2130,-812,I6
1489,-240,I6
171,1065,I6
447,1279,I6
1679,-41,I6
2020,-769,I6
743,211,I6
-263,1406,I6
575,871,I6
1793,-481,I6
1501,-311,I6
183,947,I6
93,1480,I6
1334,241,I6
2005,-911,I6
1002,-116,I6
-235,1201,I6
423,1001,I6
1712,-351,I6
1765,-624,I6
442,515,I6
-104,1359,I6
935,473,I6
1877,-816,I6
1225,-234,I6
-45,1063,I6
330,1268,I6
1615,-79,I6
1971,-812,I6
688,194,I6
-260,1382,I6
620,839,I6
1898,-510,I6
1589,-308,I6
269,964,I6
187,1493,I6
1379,265,I6
2021,-853,I6
1027,-46,I6
-192,1274,I6
484,1056,I6
1761,-293,I6
1790,-549,I6
482,604,I6
-26,1433,I6
1050,541,I6
1997,-717,I6
1377,-145,I6
145,1148,I6
471,1335,I6
1708,20,I6
2056,-684,I6
769,317,I6
-152,1490,I6
717,944,I6
1963,-390,I6
1651,-217,I6
325,1038,I6
222,1559,I6
1436,386,I6
2085,-633,I6
1138,207,I6
-50,1504,I6
576,1329,I6
1845,101,I6
1877,-74,I6
591,1109,I6
66,1949,I6
1124,1117,I6
2087,-64,I6
1455,477,I6
167,1733,I6
513,1926,I6
1779,654,I6
2122,-70,I6
828,906,I6
-102,2036,I6
791,1525,I6
2047,236,I6
