147,1303
1270,116
1471,-51
239,735
-105,1674
547,767
1637,-125
881,197
-138,1289
114,1482
1098,283
1523,-43
328,577
-157,1630
318,894
1397,-98
845,167
-217,1173
-92,1632
817,437
1465,-49
332,433
-304,1563
83,1059
1259,-12
1076,82
-49,985
-121,1627
688,515
1543,-124
606,257
-194,1418
125,1248
1257,137
1357,34
165,833
-119,1707
541,803
1608,-37
817,305
-176,1415
161,1534
1214,352
1550,50
321,712
-94,1777
443,990
1583,-51
911,245
-153,1279
31,1627
945,381
1505,-70
314,524
-234,1683
161,1014
1338,-61
972,149
-129,1109
-112,1670
744,536
1474,-26
472,397
-227,1480
109,1154
1247,87
1214,87
75,920
-93,1674
666,629
1621,-120
754,262
-199,1421
101,1417
1196,213
1453,6
229,772
-138,1758
499,915
1583,-18
857,279
-155,1338
91,1566
1087,361
1544,-8
336,600
-151,1671
351,946
1450,-99
938,182
-126,1197
-27,1678
882,476
1570,-31
471,459
-164,1596
207,1112
1327,36
1185,109
77,967
-23,1635
784,531
1659,-125
711,257
-116,1396
191,1253
1288,147
1420,14
223,796
-77,1720
577,824
1625,-36
863,283
-147,1390
121,1531
1129,332
1536,-3
350,659
-103,1716
406,959
1498,-52
916,230
-137,1234
18,1635
921,428
1556,-45
410,451
-199,1562
194,1023
1327,-34
1116,88
5,1003
-55,1645
791,511
1636,-84
634,327
-144,1508
186,1287
1304,155
1378,67
193,870
-75,1716
623,759
1640,-51
808,272
-171,1380
128,1436
1165,245
1489,-11
282,664
-125,1717
421,924
1513,-73
849,226
-185,1259
20,1585
945,372
1498,-43
341,517
-210,1620
205,998
1357,-59
1032,147
-42,1078
-37,1659
824,503
1579,-68
551,331
-175,1471
157,1172
1281,74
1260,68
94,902
-92,1692
667,641
1643,-95
747,271
-194,1470
112,1429
1200,238
1448,-6
226,730
-148,1706
459,848
1551,-78
813,240
-198,1330
77,1536
1076,308
1525,-60
310,588
-197,1684
258,972
1397,-92
886,163
-171,1154
-74,1624
798,430
1481,-51
409,400
-217,1515
140,1054
1282,-8
1133,85
26,956
-82,1637
725,551
1620,-119
682,278
-179,1455
118,1326
1250,196
1427,44
211,816
-87,1744
579,852
1648,-21
879,306
-142,1390
145,1543
1154,348
1551,15
356,642
-101,1704
361,967
1445,-33
866,247
-166,1249
-35,1666
871,475
1501,0
357,505
-255,1648
139,1096
1329,6
1066,126
-72,1060
-151,1692
713,562
1570,-71
600,322
-168,1487
150,1286
1271,182
1324,103
203,885
-40,1704
651,782
1668,-43
848,281
-129,1400
148,1481
1195,287
1510,18
275,690
-147,1749
397,968
1490,-23
847,260
-196,1304
-6,1657
921,422
1468,-14
312,532
-218,1634
197,1001
1342,-53
1025,103
-53,1029
-80,1596
762,455
1555,-133
580,245
-142,1352
181,1101
1267,35
1296,-7
135,821
-91,1646
651,660
1639,-124
799,234
-182,1413
117,1459
1177,242
1473,-52
217,659
-171,1674
381,872
1450,-83
805,208
-213,1240
3,1517
966,285
1495,-103
329,505
-180,1594
266,941
1407,-114
1054,101
-12,1026
-3,1596
866,441
1584,-102
570,297
-139,1418
184,1104
1278,18
1239,20
63,852
-137,1651
618,615
1591,-120
